component,path,type,severity,line,details,suggestion
"BrandColorIntegration","components/advanced/BrandColorIntegration.tsx","hardcoded_color","medium",74,"{ color: '#EA4335', timestamp: Date.now() - 172800000, confidence: 0.92 }","Use COLORS.* constants or CSS custom properties"
"BrandColorIntegration","components/advanced/BrandColorIntegration.tsx","hardcoded_color","medium",83,"{ color: '#0078D4', timestamp: Date.now() - 86400000, confidence: 0.93 },","Use COLORS.* constants or CSS custom properties"
"BrandColorIntegration","components/advanced/BrandColorIntegration.tsx","hardcoded_color","medium",84,"{ color: '#00BCF2', timestamp: Date.now() - 172800000, confidence: 0.89 }","Use COLORS.* constants or CSS custom properties"
"BrandColorIntegration","components/advanced/BrandColorIntegration.tsx","hardcoded_opacity","medium",296,"border: '1px solid var(--brand-border-primary, rgba(59, 130, 246, 0.3))',","Use --glass-opacity-* CSS variables or token-based rgba values"
"BrandColorIntegration","components/advanced/BrandColorIntegration.tsx","hardcoded_color","medium",298,"color: 'var(--brand-primary, #3b82f6)'","Use COLORS.* constants or CSS custom properties"
"BrandColorIntegration","components/advanced/BrandColorIntegration.tsx","hardcoded_opacity","medium",302,"border: '1px solid var(--brand-border-secondary, rgba(30, 64, 175, 0.3))',","Use --glass-opacity-* CSS variables or token-based rgba values"
"BrandColorIntegration","components/advanced/BrandColorIntegration.tsx","hardcoded_color","medium",304,"color: 'var(--brand-secondary, #1e40af)'","Use COLORS.* constants or CSS custom properties"
"BrandColorIntegration","components/advanced/BrandColorIntegration.tsx","hardcoded_opacity","medium",325,"? 'var(--brand-shadow-primary, 0 8px 24px rgba(59, 130, 246, 0.2))'","Use --glass-opacity-* CSS variables or token-based rgba values"
"BrandColorIntegration","components/advanced/BrandColorIntegration.tsx","hardcoded_opacity","medium",326,": 'var(--brand-shadow-secondary, 0 8px 24px rgba(30, 64, 175, 0.2))'","Use --glass-opacity-* CSS variables or token-based rgba values"
"BrandColorIntegration","components/advanced/BrandColorIntegration.tsx","hardcoded_opacity","medium",341,"background: `radial-gradient(circle at center, var(--brand-${variant}, rgba(59, 130, 246, 0.2)) 0%, transparent 70%)`","Use --glass-opacity-* CSS variables or token-based rgba values"
"BrandColorIntegration","components/advanced/BrandColorIntegration.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"BrandColorIntegration","components/advanced/BrandColorIntegration.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassAchievementSystem","components/advanced/GlassAchievementSystem.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassAchievementSystem","components/advanced/GlassAchievementSystem.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassAutoComposer","components/advanced/GlassAutoComposer.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassAutoComposer","components/advanced/GlassAutoComposer.tsx","hardcoded_opacity","medium",70,"surface: 'rgba(255, 255, 255, 0.1)',","Use --glass-opacity-* CSS variables or token-based rgba values"
"GlassAutoComposer","components/advanced/GlassAutoComposer.tsx","hardcoded_opacity","medium",72,"textSecondary: 'rgba(255, 255, 255, 0.7)',","Use --glass-opacity-* CSS variables or token-based rgba values"
"GlassAutoComposer","components/advanced/GlassAutoComposer.tsx","hardcoded_opacity","medium",100,"sm: '0 1px 2px 0 rgba(0, 0, 0, 0.05)',","Use --glass-opacity-* CSS variables or token-based rgba values"
"GlassAutoComposer","components/advanced/GlassAutoComposer.tsx","hardcoded_opacity","medium",101,"md: '0 4px 6px -1px rgba(0, 0, 0, 0.1)',","Use --glass-opacity-* CSS variables or token-based rgba values"
"GlassAutoComposer","components/advanced/GlassAutoComposer.tsx","hardcoded_opacity","medium",102,"lg: '0 10px 15px -3px rgba(0, 0, 0, 0.1)',","Use --glass-opacity-* CSS variables or token-based rgba values"
"GlassAutoComposer","components/advanced/GlassAutoComposer.tsx","hardcoded_opacity","medium",103,"glass: '0 8px 32px rgba(31, 38, 135, 0.37)',","Use --glass-opacity-* CSS variables or token-based rgba values"
"GlassAutoComposer","components/advanced/GlassAutoComposer.tsx","hardcoded_radius","low",428,"border-radius: 12px;","Use --glass-radius-* CSS variables or AURA_GLASS.radii"
"GlassAutoComposer","components/advanced/GlassAutoComposer.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassAutoComposer","components/advanced/GlassAutoComposer.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassBiometricAdaptation","components/advanced/GlassBiometricAdaptation.tsx","hardcoded_color","medium",671,"const calmColor = colorAdaptation.colors[0] || '#3b82f6';","Use COLORS.* constants or CSS custom properties"
"GlassBiometricAdaptation","components/advanced/GlassBiometricAdaptation.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassBiometricAdaptation","components/advanced/GlassBiometricAdaptation.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassContextAware","components/advanced/GlassContextAware.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassContextualEngine","components/advanced/GlassContextualEngine.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassContextualEngine","components/advanced/GlassContextualEngine.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassEngine","components/advanced/GlassEngine.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassEngine","components/advanced/GlassEngine.tsx","hardcoded_opacity","medium",370,"const [adaptiveTint, setAdaptiveTint] = useState(tintColor || 'rgba(255, 255, 255, 0.1)');","Use --glass-opacity-* CSS variables or token-based rgba values"
"GlassEngine","components/advanced/GlassEngine.tsx","hardcoded_color","medium",380,"const colors = ['#3b82f6', '#ef4444', '#10b981', '#f59e0b', '#8b5cf6'];","Use COLORS.* constants or CSS custom properties"
"GlassEngine","components/advanced/GlassEngine.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassEngine","components/advanced/GlassEngine.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassEyeTracking","components/advanced/GlassEyeTracking.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassEyeTracking","components/advanced/GlassEyeTracking.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassFoldableSupport","components/advanced/GlassFoldableSupport.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassFoldableSupport","components/advanced/GlassFoldableSupport.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassLiquidTransition","components/advanced/GlassLiquidTransition.tsx","hardcoded_blur","high",192,"filter: 'blur(0px)',","Use --glass-blur-* CSS variables or AURA_GLASS.surfaces[intent][elevation].backdropBlur"
"GlassLiquidTransition","components/advanced/GlassLiquidTransition.tsx","hardcoded_blur","high",196,"filter: isActive ? 'blur(8px)' : 'blur(0px)',","Use --glass-blur-* CSS variables or AURA_GLASS.surfaces[intent][elevation].backdropBlur"
"GlassLiquidTransition","components/advanced/GlassLiquidTransition.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassLiquidTransition","components/advanced/GlassLiquidTransition.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassLiveCursorPresence","components/advanced/GlassLiveCursorPresence.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassLiveCursorPresence","components/advanced/GlassLiveCursorPresence.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassMagneticCursor","components/advanced/GlassMagneticCursor.tsx","hardcoded_opacity","medium",43,"color = 'rgba(59, 130, 246, 0.5)',","Use --glass-opacity-* CSS variables or token-based rgba values"
"GlassMagneticCursor","components/advanced/GlassMagneticCursor.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassMagneticCursor","components/advanced/GlassMagneticCursor.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassMeshGradient","components/advanced/GlassMeshGradient.tsx","hardcoded_color","medium",36,"colors = ['#3b82f6', '#8b5cf6', '#ec4899', '#f59e0b'],","Use COLORS.* constants or CSS custom properties"
"GlassMeshGradient","components/advanced/GlassMeshGradient.tsx","hardcoded_color","medium",239,"colors: ['#0891b2', '#06b6d4', '#0ea5e9', '#0284c7'],","Use COLORS.* constants or CSS custom properties"
"GlassMeshGradient","components/advanced/GlassMeshGradient.tsx","hardcoded_color","medium",245,"colors: ['#f97316', '#fb923c', '#ec4899', '#f43f5e'],","Use COLORS.* constants or CSS custom properties"
"GlassMeshGradient","components/advanced/GlassMeshGradient.tsx","hardcoded_color","medium",251,"colors: ['#10b981', '#14b8a6', '#06b6d4', '#3b82f6', '#8b5cf6'],","Use COLORS.* constants or CSS custom properties"
"GlassMeshGradient","components/advanced/GlassMeshGradient.tsx","hardcoded_color","medium",258,"colors: ['#6366f1', '#8b5cf6', '#a855f7', '#d946ef'],","Use COLORS.* constants or CSS custom properties"
"GlassMeshGradient","components/advanced/GlassMeshGradient.tsx","hardcoded_color","medium",265,"colors: ['#e5e7eb', '#d1d5db', '#9ca3af'],","Use COLORS.* constants or CSS custom properties"
"GlassMeshGradient","components/advanced/GlassMeshGradient.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassMetaEngine","components/advanced/GlassMetaEngine.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassMetaEngine","components/advanced/GlassMetaEngine.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassMetaEngine","components/advanced/GlassMetaEngine.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassNeuroSync","components/advanced/GlassNeuroSync.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassNeuroSync","components/advanced/GlassNeuroSync.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassOrientationEffects","components/advanced/GlassOrientationEffects.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassOrientationEffects","components/advanced/GlassOrientationEffects.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassParallaxLayers","components/advanced/GlassParallaxLayers.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassParallaxLayers","components/advanced/GlassParallaxLayers.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassParticles","components/advanced/GlassParticles.tsx","hardcoded_color","medium",59,"colors = ['#3b82f6', '#8b5cf6', '#ec4899'],","Use COLORS.* constants or CSS custom properties"
"GlassParticles","components/advanced/GlassParticles.tsx","hardcoded_color","medium",515,"colors: ['#fbbf24', '#f59e0b', '#fde047'],","Use COLORS.* constants or CSS custom properties"
"GlassParticles","components/advanced/GlassParticles.tsx","hardcoded_color","medium",549,"colors: ['#10b981', '#22c55e', '#16a34a'],","Use COLORS.* constants or CSS custom properties"
"GlassParticles","components/advanced/GlassParticles.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassParticles","components/advanced/GlassParticles.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassPerformanceOptimization","components/advanced/GlassPerformanceOptimization.tsx","hardcoded_opacity","medium",174,"let baseBackground = 'rgba(255, 255, 255, 0.1)'","Use --glass-opacity-* CSS variables or token-based rgba values"
"GlassPerformanceOptimization","components/advanced/GlassPerformanceOptimization.tsx","hardcoded_opacity","medium",176,"let shadow = '0 8px 32px rgba(0, 0, 0, 0.1)'","Use --glass-opacity-* CSS variables or token-based rgba values"
"GlassPerformanceOptimization","components/advanced/GlassPerformanceOptimization.tsx","hardcoded_opacity","medium",185,"shadow = '0 16px 64px rgba(0, 0, 0, 0.15)'","Use --glass-opacity-* CSS variables or token-based rgba values"
"GlassPerformanceOptimization","components/advanced/GlassPerformanceOptimization.tsx","hardcoded_opacity","medium",202,"border: '1px dashed rgba(0, 0, 0, 0.1)'","Use --glass-opacity-* CSS variables or token-based rgba values"
"GlassPerformanceOptimization","components/advanced/GlassPerformanceOptimization.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassPerformanceOptimization","components/advanced/GlassPerformanceOptimization.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassPredictiveEngine","components/advanced/GlassPredictiveEngine.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassPredictiveEngine","components/advanced/GlassPredictiveEngine.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassPredictiveEngine","components/advanced/GlassPredictiveEngine.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassProgressiveEnhancement","components/advanced/GlassProgressiveEnhancement.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassQuantumStates","components/advanced/GlassQuantumStates.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassQuantumStates","components/advanced/GlassQuantumStates.tsx","hardcoded_opacity","medium",827,"stroke=""rgba(59, 130, 246, 0.5)""","Use --glass-opacity-* CSS variables or token-based rgba values"
"GlassQuantumStates","components/advanced/GlassQuantumStates.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassQuantumStates","components/advanced/GlassQuantumStates.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassReactions","components/advanced/GlassReactions.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassReactions","components/advanced/GlassReactions.tsx","hardcoded_color","medium",54,"{ emoji: '👍', name: 'Like', color: '#3b82f6', sound: 'success', shortcut: '1' },","Use COLORS.* constants or CSS custom properties"
"GlassReactions","components/advanced/GlassReactions.tsx","hardcoded_color","medium",55,"{ emoji: '❤️', name: 'Love', color: '#ef4444', sound: 'notification', shortcut: '2' },","Use COLORS.* constants or CSS custom properties"
"GlassReactions","components/advanced/GlassReactions.tsx","hardcoded_color","medium",56,"{ emoji: '😂', name: 'Laugh', color: '#f59e0b', sound: 'tap', shortcut: '3' },","Use COLORS.* constants or CSS custom properties"
"GlassReactions","components/advanced/GlassReactions.tsx","hardcoded_color","medium",57,"{ emoji: '😮', name: 'Wow', color: '#8b5cf6', sound: 'morph', shortcut: '4' },","Use COLORS.* constants or CSS custom properties"
"GlassReactions","components/advanced/GlassReactions.tsx","hardcoded_color","medium",58,"{ emoji: '😢', name: 'Sad', color: '#6b7280', sound: 'slide', shortcut: '5' },","Use COLORS.* constants or CSS custom properties"
"GlassReactions","components/advanced/GlassReactions.tsx","hardcoded_color","medium",59,"{ emoji: '😡', name: 'Angry', color: '#dc2626', sound: 'error', shortcut: '6' },","Use COLORS.* constants or CSS custom properties"
"GlassReactions","components/advanced/GlassReactions.tsx","hardcoded_color","medium",60,"{ emoji: '🎉', name: 'Celebrate', color: '#10b981', sound: 'success', shortcut: '7' },","Use COLORS.* constants or CSS custom properties"
"GlassReactions","components/advanced/GlassReactions.tsx","hardcoded_color","medium",61,"{ emoji: '🤔', name: 'Think', color: '#f97316', sound: 'hover', shortcut: '8' },","Use COLORS.* constants or CSS custom properties"
"GlassReactions","components/advanced/GlassReactions.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassReactions","components/advanced/GlassReactions.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassSelfHealingSystem","components/advanced/GlassSelfHealingSystem.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassSpatialAudio","components/advanced/GlassSpatialAudio.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassSpatialAudio","components/advanced/GlassSpatialAudio.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassTrophyCase","components/advanced/GlassTrophyCase.tsx","missing_aria","high",0,"Component has interactive elements but no ARIA attributes detected","Add aria-label, aria-labelledby, or aria-describedby for accessibility"
"GlassTrophyCase","components/advanced/GlassTrophyCase.tsx","hardcoded_blur","high",459,"filter: 'blur(10px)'","Use --glass-blur-* CSS variables or AURA_GLASS.surfaces[intent][elevation].backdropBlur"
"GlassTrophyCase","components/advanced/GlassTrophyCase.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassTrophyCase","components/advanced/GlassTrophyCase.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"GlassWebGLShader","components/advanced/GlassWebGLShader.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
"GlassWebGLShader","components/advanced/GlassWebGLShader.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx","hardcoded_opacity","medium",60,"border: 'rgba(255, 255, 255, 0.1)',","Use --glass-opacity-* CSS variables or token-based rgba values"
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx","hardcoded_opacity","medium",61,"glassBase: 'rgba(255, 255, 255, 0.1)',","Use --glass-opacity-* CSS variables or token-based rgba values"
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx","hardcoded_opacity","medium",62,"glassTint: 'rgba(255, 255, 255, 0.05)'","Use --glass-opacity-* CSS variables or token-based rgba values"
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx","hardcoded_opacity","medium",72,"text: 'rgba(255, 255, 255, 0.95)',","Use --glass-opacity-* CSS variables or token-based rgba values"
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx","hardcoded_opacity","medium",73,"textSecondary: 'rgba(255, 255, 255, 0.80)',","Use --glass-opacity-* CSS variables or token-based rgba values"
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx","hardcoded_opacity","medium",74,"border: 'rgba(255, 255, 255, 0.15)',","Use --glass-opacity-* CSS variables or token-based rgba values"
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx","hardcoded_opacity","medium",75,"glassBase: 'rgba(255, 255, 255, 0.15)',","Use --glass-opacity-* CSS variables or token-based rgba values"
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx","hardcoded_opacity","medium",76,"glassTint: 'rgba(255, 255, 255, 0.08)'","Use --glass-opacity-* CSS variables or token-based rgba values"
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx","hardcoded_opacity","medium",346,"newPalette.glassBase = `rgba(${rgb[0]}, ${rgb[1]}, ${rgb[2]}, 0.1)`;","Use --glass-opacity-* CSS variables or token-based rgba values"
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx","hardcoded_opacity","medium",347,"newPalette.glassTint = `rgba(${rgb[0]}, ${rgb[1]}, ${rgb[2]}, 0.05)`;","Use --glass-opacity-* CSS variables or token-based rgba values"
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx","hardcoded_opacity","medium",365,"timeBasePalette.glassBase = 'rgba(245, 158, 11, 0.1)';","Use --glass-opacity-* CSS variables or token-based rgba values"
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx","hardcoded_opacity","medium",368,"timeBasePalette.glassBase = 'rgba(59, 130, 246, 0.1)';","Use --glass-opacity-* CSS variables or token-based rgba values"
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx","hardcoded_opacity","medium",371,"timeBasePalette.glassBase = 'rgba(249, 115, 22, 0.1)';","Use --glass-opacity-* CSS variables or token-based rgba values"
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx","hardcoded_opacity","medium",375,"timeBasePalette.glassBase = 'rgba(99, 102, 241, 0.08)';","Use --glass-opacity-* CSS variables or token-based rgba values"
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx","hardcoded_opacity","medium",390,"seasonPalette.glassBase = 'rgba(16, 185, 129, 0.1)';","Use --glass-opacity-* CSS variables or token-based rgba values"
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx","hardcoded_opacity","medium",396,"seasonPalette.glassBase = 'rgba(6, 182, 212, 0.1)';","Use --glass-opacity-* CSS variables or token-based rgba values"
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx","hardcoded_opacity","medium",402,"seasonPalette.glassBase = 'rgba(249, 115, 22, 0.1)';","Use --glass-opacity-* CSS variables or token-based rgba values"
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx","hardcoded_opacity","medium",409,"seasonPalette.glassBase = 'rgba(99, 102, 241, 0.08)';","Use --glass-opacity-* CSS variables or token-based rgba values"
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx","hardcoded_opacity","medium",444,"brandPalette.glassBase = `rgba(${rgb[0]}, ${rgb[1]}, ${rgb[2]}, 0.1)`;","Use --glass-opacity-* CSS variables or token-based rgba values"
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx","hardcoded_opacity","medium",445,"brandPalette.glassTint = `rgba(${rgb[0]}, ${rgb[1]}, ${rgb[2]}, 0.05)`;","Use --glass-opacity-* CSS variables or token-based rgba values"
"IntelligentColorSystem","components/advanced/IntelligentColorSystem.tsx","hardcoded_animation","medium",0,"Component has animations without motion tokens","Use ANIMATION.DURATION.* and ANIMATION.EASING.* or --glass-motion-* CSS variables"
"LiquidGlassGPU","components/advanced/LiquidGlassGPU.tsx","missing_contrast_guard","critical",0,"Component renders text over glass background without ContrastGuard","Wrap text content with ContrastGuard or use useAutoTextContrast hook"
